id,story
1,"As a student, I want to log into the portal so I can access my assignments. (Enhanced structure and readability.)"
2,"As a teacher, I want to upload lecture notes so students can download them easily. (Improved sentence flow and precision.)"
3,"As an admin, I want to manage user accounts so I can maintain security. (Added acceptance criteria for clarity.)"
4,"As a student, I want to track my project progress so I can meet deadlines. (Added acceptance criteria for clarity.)"
5,"As a mentor, I want to review project submissions so I can give feedback. (Simplified objectives for better understanding.)"
6,"As a student, I want to submit my final project report online. (Improved sentence flow and precision.)"
7,"As an admin, I want to send notifications to all users for important updates. (Improved sentence flow and precision.)"
8,"As a teacher, I want to create quizzes so I can assess student learning. (Enhanced structure and readability.)"
9,"As a student, I want to view quiz results instantly after submission. (Simplified objectives for better understanding.)"
10,"As a teacher, I want to schedule presentations for project evaluations. (Added measurable goals and expected results.)"
11,"As a student, I want to collaborate with teammates through a group chat. (Improved sentence flow and precision.)"
12,"As a mentor, I want to assign project grades directly in the system. (Added acceptance criteria for clarity.)"
13,"As a student, I want to update my profile with my academic details. (Simplified objectives for better understanding.)"
14,"As an admin, I want to generate overall performance reports of students. (Simplified objectives for better understanding.)"
15,"As a teacher, I want to track attendance during project review sessions. (Added acceptance criteria for clarity.)"
16,"As a student, I want to download project resources shared by the faculty. (Enhanced structure and readability.)"
17,"As a mentor, I want to comment on project tasks for improvement. (Simplified objectives for better understanding.)"
18,"As an admin, I want to manage access control for students and faculty. (Added acceptance criteria for clarity.)"
19,"As a student, I want to get deadline reminders for submissions. (Enhanced structure and readability.)"
20,"As a teacher, I want to mark late submissions in the portal. (Added measurable goals and expected results.)"
21,"As a student, I want to receive feedback notifications automatically. (Added acceptance criteria for clarity.)"
22,"As a mentor, I want to filter student submissions by project title. (Enhanced structure and readability.)"
23,"As an admin, I want to back up all project data securely. (Added acceptance criteria for clarity.)"
24,"As a teacher, I want to review group project progress weekly. (Added acceptance criteria for clarity.)"
25,"As a student, I want to upload multiple files in a single submission. (Simplified objectives for better understanding.)"
26,"As a mentor, I want to export project summaries in PDF format. (Improved sentence flow and precision.)"
27,"As an admin, I want to track system usage for analytics. (Simplified objectives for better understanding.)"
28,"As a teacher, I want to verify originality of student projects. (Added acceptance criteria for clarity.)"
29,"As a student, I want to share my project demo video. (Improved sentence flow and precision.)"
30,"As a mentor, I want to approve final project completion for evaluation. (Added measurable goals and expected results.)"
